CPU,Min_Cores,Max_Cores,Max_Clock(MHz),Process(NM),TDP(Watts),Release,Release_Year,CPU_HPI
Core i5-3330,4,4,3200,22.0,77,"Sep 3rd, 2012",2012,581.8181818181819
Core i5-3320M,2,4,3300,22.0,35,"Jun 1st, 2012",2012,600.0
Core i5-3320M,2,4,3300,22.0,35,"Jun 1st, 2012",2012,600.0
Core i5-3317U,2,4,2600,22.0,17,"Jun 1st, 2012",2012,472.72727272727275
Core i5-3210M,2,4,3100,22.0,35,"Jun 1st, 2012",2012,563.6363636363636
Core i5-3210M,2,4,3100,22.0,35,"Jun 1st, 2012",2012,563.6363636363636
Core i5-2557M,2,4,1700,32.0,17,"Jun 1st, 2011",2011,212.5
Core i5-2550K,4,4,3800,32.0,95,"Jan 30th, 2012",2012,475.0
Core i5-2540M,2,4,2600,32.0,35,"Feb 1st, 2011",2011,325.0
Core i5-2540M,2,4,2600,32.0,35,"Feb 1st, 2011",2011,325.0
Core i5-2537M,2,4,1400,32.0,17,"Feb 1st, 2011",2011,175.0
Core i5-2520M,2,4,2500,32.0,35,"Feb 1st, 2011",2011,312.5
Core i5-2520M,2,4,2500,32.0,35,"Feb 1st, 2011",2011,312.5
Core i5-2515E,2,4,2500,32.0,35,"Feb 1st, 2011",2011,312.5
Core i5-2510E,2,4,2500,32.0,35,"Feb 1st, 2011",2011,312.5
Core i5-2500T,4,4,3300,32.0,45,"Jan 9th, 2011",2011,412.5
Core i5-2500S,4,4,3700,32.0,65,"Jan 9th, 2011",2011,462.5
Core i5-2500K,4,4,3700,32.0,95,"Jan 9th, 2011",2011,462.5
Core i5-2500,4,4,3700,32.0,95,"Jan 9th, 2011",2011,462.5
Core i5-2467M,2,4,1600,32.0,17,"Jun 1st, 2011",2011,200.0
Core i5-2450P,4,4,3500,32.0,95,"Jan 30th, 2012",2012,437.5
Core i5-2450M,2,4,2500,32.0,35,"Jan 1st, 2012",2012,312.5
Core i5-2450M,2,4,2500,32.0,35,"Jan 1st, 2012",2012,312.5
Core i5-2435M,2,4,2400,32.0,35,"Sep 1st, 2011",2011,300.0
Core i5-2435M,2,4,2400,32.0,35,"Sep 1st, 2011",2011,300.0
Core i5-2430M,2,4,2400,32.0,35,"Oct 1st, 2011",2011,300.0
Core i5-2430M,2,4,2400,32.0,35,"Oct 1st, 2011",2011,300.0
Core i5-2415M,2,4,2300,32.0,35,"Sep 1st, 2011",2011,287.5
Core i5-2410M,2,4,2300,32.0,35,"Feb 1st, 2011",2011,287.5
Core i5-2410M,2,4,2300,32.0,35,"Feb 1st, 2011",2011,287.5
Core i5-2405S,4,4,3300,32.0,65,"May 22nd, 2011",2011,412.5
Core i5-2400S,4,4,3300,32.0,65,"Jan 9th, 2011",2011,412.5
Core i5-2400,4,4,3400,32.0,95,"Jan 9th, 2011",2011,425.0
Core i5-2390T,2,4,3500,32.0,35,"Feb 20th, 2011",2011,437.5
Core i5-2380P,4,4,3400,32.0,95,"Jan 30th, 2012",2012,425.0
Core i5-2320,4,4,3300,32.0,95,"Sep 4th, 2011",2011,412.5
Core i5-2310,4,4,3200,32.0,95,"May 22nd, 2011",2011,400.0
Core i5-2300,4,4,3100,32.0,95,"Jan 9th, 2011",2011,387.5
Core i5-13600T,14,20,4800,10.0,35,"Jan 4th, 2023",2023,9600.0
Core i5-13600KF,14,20,5100,10.0,125,"Sep 27th, 2022",2022,10200.0
Core i5-13600K,14,20,5100,10.0,125,"Sep 27th, 2022",2022,10200.0
Core i5-13600HX,14,20,4800,10.0,55,"Jan 4th, 2023",2023,9600.0
Core i5-13600,14,20,5000,10.0,65,"Jan 4th, 2023",2023,10000.0
Core i5-13500T,14,20,4600,10.0,35,"Jan 4th, 2023",2023,9200.0
Core i5-13500HX,14,20,4700,10.0,55,"Jan 4th, 2023",2023,9400.0
Core i5-13500,14,20,4800,10.0,65,"Jan 4th, 2023",2023,9600.0
Core i5-13450HX,10,16,4600,10.0,55,"Jan 4th, 2023",2023,7360.0
Core i5-13400T,10,16,4400,10.0,35,"Jan 4th, 2023",2023,7040.0
Core i5-13400F,10,16,4600,10.0,65,"Jan 4th, 2023",2023,7360.0
Core i5-13400,10,16,4600,10.0,65,"Jan 4th, 2023",2023,7360.0
Core i5-12600KF,10,16,4900,10.0,125,"Nov 4th, 2021",2021,7840.0
Core i5-12600K,10,16,4900,10.0,125,"Nov 4th, 2021",2021,7840.0
Core i5-12600HX,12,16,4600,10.0,55,"May 10th, 2022",2022,7360.0
Core i5-12600HE,12,16,4500,10.0,45,Jan 2022,2022,7200.0
Core i5-12600H,12,16,4500,10.0,45,Jan 2022,2022,7200.0
Core i5-1250P,12,16,4400,10.0,28,"Feb 23rd, 2022",2022,7040.0
Core i5-12500H,12,16,4500,10.0,45,Jan 2022,2022,7200.0
Core i5-1245U,10,12,4400,10.0,15,"Feb 23rd, 2022",2022,5280.0
Core i5-1240U,10,12,4400,10.0,9,"Feb 23rd, 2022",2022,5280.0
Core i5-1240P,12,16,4400,10.0,28,"Feb 23rd, 2022",2022,7040.0
Core i5-1235U (IPU),10,12,4400,10.0,15,"Feb 23rd, 2022",2022,5280.0
Core i5-1235U,10,12,4400,10.0,15,"Feb 23rd, 2022",2022,5280.0
Core i5-1230U,10,12,4400,10.0,9,"Feb 23rd, 2022",2022,5280.0
Core i5-11600T,6,12,4100,14.0,35,"Mar 16th, 2021",2021,3514.285714285714
Core i5-11600KF,6,12,4900,14.0,125,"Mar 16th, 2021",2021,4200.0
Core i5-11600K,6,12,4900,14.0,125,"Mar 16th, 2021",2021,4200.0
Core i5-11600,6,12,4800,14.0,65,"Mar 16th, 2021",2021,4114.285714285715
Core i5-1155G7,4,8,4500,10.0,28,"May 31st, 2021",2021,3600.0
Core i5-11500T,6,12,3900,14.0,35,"Mar 16th, 2021",2021,3342.8571428571427
Core i5-11500H,6,12,4600,10.0,35,"May 11th, 2021",2021,5520.0
Core i5-11500,6,12,4600,14.0,65,"Mar 16th, 2021",2021,3942.8571428571427
Core i5-11400T,6,12,3700,14.0,35,"Mar 16th, 2021",2021,3171.4285714285716
Core i5-11400H,6,12,4500,10.0,35,"May 11th, 2021",2021,5400.0
Core i5-11400F,6,12,4400,14.0,65,"Mar 16th, 2021",2021,3771.4285714285716
Core i5-11400,6,12,4400,14.0,65,"Mar 16th, 2021",2021,3771.4285714285716
Core i5-11320H,4,8,4500,10.0,28,"Jun 21st, 2021",2021,3600.0
Core i5-11300H,4,8,4400,10.0,28,"Jan 11th, 2021",2021,3520.0
Core i5-11260H,6,12,4400,10.0,35,"May 11th, 2021",2021,5280.0
Core i3-8350K,4,4,4000,14.0,91,"Oct 5th, 2017",2017,1142.857142857143
Core i3-8100,4,4,3600,14.0,62,"Oct 5th, 2017",2017,1028.5714285714287
Core i3-7360X,2,4,4300,14.0,112,"Oct 3rd, 2017",2017,1228.5714285714287
Core i3-7350K,2,4,4200,14.0,60,"Jan 3rd, 2017",2017,1200.0
Core i3-7340,2,4,4200,14.0,51,"Jul 17th, 2017",2017,1200.0
Core i3-7320T,2,4,3600,14.0,35,"Jul 17th, 2017",2017,1028.5714285714287
Core i3-7320,2,4,4100,14.0,51,"Jan 3rd, 2017",2017,1171.4285714285713
Core i3-7300T,2,4,3500,14.0,35,"Jan 3rd, 2017",2017,1000.0
Core i3-7300,2,4,4000,14.0,51,"Jan 3rd, 2017",2017,1142.857142857143
Core i3-7120T,2,4,3600,14.0,35,"Jul 17th, 2017",2017,1028.5714285714287
Core i3-7120,2,4,4000,14.0,51,"Jul 17th, 2017",2017,1142.857142857143
Core i3-7100T,2,4,3400,14.0,35,"Jan 3rd, 2017",2017,971.4285714285714
Core i3-7100,2,4,3900,14.0,51,"Jan 3rd, 2017",2017,1114.2857142857142
Core i3-560,2,4,3333,32.0,73,"Aug 29th, 2010",2010,416.625
Core i3-550,2,4,3200,32.0,73,"May 30th, 2010",2010,400.0
Core i3-540,2,4,3066,32.0,73,"Jan 7th, 2010",2010,383.25
Core i3-530,2,4,2933,32.0,73,"Jan 7th, 2010",2010,366.625
Core i3-4340,2,4,3600,22.0,54,"Sep 1st, 2013",2013,654.5454545454545
Core i3-4330T,2,4,3000,22.0,35,"Sep 1st, 2013",2013,545.4545454545455
Core i3-4330,2,4,3500,22.0,54,"Sep 1st, 2013",2013,636.3636363636364
Core i3-4158U,2,4,2000,22.0,28,"Jun 4th, 2013",2013,363.6363636363636
Core i3-4130T,2,4,2900,22.0,35,"Sep 1st, 2013",2013,527.2727272727273
Core i3-4130,2,4,3400,22.0,54,"Sep 1st, 2013",2013,618.1818181818181
Core i3-4102E,2,4,1600,22.0,25,"Sep 4th, 2013",2013,290.90909090909093
Core i3-4100U,2,4,1800,22.0,15,"Jun 4th, 2013",2013,327.27272727272725
Core i3-4100E,2,4,2400,22.0,37,"Sep 4th, 2013",2013,436.3636363636364
Core i3-4010Y,2,4,1300,22.0,12,"Jun 4th, 2013",2013,236.36363636363637
Core i3-4010U,2,4,1700,22.0,15,"Jun 4th, 2013",2013,309.09090909090907
Core i3-4005U,2,4,1700,22.0,15,"Sep 4th, 2013",2013,309.09090909090907
Core i3-4000M,2,4,2400,22.0,37,"Sep 4th, 2013",2013,436.3636363636364
Core i3-390M,2,4,2667,32.0,35,"Jan 9th, 2011",2011,333.375
Core i3-380M,2,4,2534,32.0,35,"Oct 26th, 2010",2010,316.75
Core i3-370M,2,4,2400,32.0,35,"Jun 20th, 2010",2010,300.0
Core i3-350M,2,4,2267,32.0,35,"Jan 7th, 2010",2010,283.375
Core i3-3240T,2,4,3000,22.0,35,"Sep 3rd, 2012",2012,545.4545454545455
Core i3-3240,2,4,3400,22.0,55,"Sep 3rd, 2012",2012,618.1818181818181
Core i3-3229Y,2,4,1400,22.0,13,"Jan 8th, 2013",2013,254.54545454545453
Core i3-3227U,2,4,1900,22.0,17,"Jan 8th, 2013",2013,345.45454545454544
Core i3-3225,2,4,3300,22.0,55,"Sep 3rd, 2012",2012,600.0
Core i3-3220T,2,4,2800,22.0,35,"Sep 3rd, 2012",2012,509.09090909090907
Core i3-3220,2,4,3300,22.0,55,"Sep 3rd, 2012",2012,600.0
Core i3-3217UE,2,4,1600,22.0,17,"Aug 1st, 2012",2012,290.90909090909093
Core i3-3217U,2,4,1800,22.0,17,"Jun 1st, 2012",2012,327.27272727272725
Core i3-3120ME,2,4,2400,22.0,35,"Aug 1st, 2012",2012,436.3636363636364
Core i3-3120M,2,4,2500,22.0,35,"Sep 30th, 2012",2012,454.54545454545456
Core i3-3120M,2,4,2500,22.0,35,"Sep 30th, 2012",2012,454.54545454545456
Core i3-3110M,2,4,2400,22.0,35,"Jun 1st, 2012",2012,436.3636363636364
Core i3-3110M,2,4,2400,22.0,35,"Jun 1st, 2012",2012,436.3636363636364
Core i3-2377M,2,4,1500,32.0,17,"Sep 1st, 2012",2012,187.5
Core i3-2370M,2,4,2400,32.0,35,"Jan 1st, 2012",2012,300.0
Core i3-2367M,2,4,1400,32.0,17,"Oct 1st, 2011",2011,175.0
Core i3-2357M,2,4,1300,32.0,17,"Jun 1st, 2011",2011,162.5
Core i3-2350M,2,4,2300,32.0,35,"Oct 1st, 2011",2011,287.5
Core i3-2340UE,2,4,1300,32.0,17,"Jun 1st, 2011",2011,162.5
Core i3-2332M,2,4,2200,32.0,35,"Sep 1st, 2011",2011,275.0
Core i3-2330M,2,4,2200,32.0,35,"Jun 1st, 2011",2011,275.0
Core i3-2330M,2,4,2200,32.0,35,"Jun 1st, 2011",2011,275.0
Core i3-2330E,2,4,2200,32.0,35,"Jun 1st, 2011",2011,275.0
Core i3-2328M,2,4,2200,32.0,35,"Sep 1st, 2012",2012,275.0
Core i3-2312M,2,4,2100,32.0,35,"Mar 1st, 2011",2011,262.5
Core i3-2312M,2,4,2100,32.0,35,"Sep 1st, 2011",2011,262.5
Core i3-2310M,2,4,2100,32.0,35,"Feb 1st, 2011",2011,262.5
Core i3-2310M,2,4,2100,32.0,35,"Feb 1st, 2011",2011,262.5
Core i3-2310E,2,4,2100,32.0,35,"Feb 1st, 2011",2011,262.5
Core i3-2130,2,4,3400,32.0,65,"Sep 4th, 2011",2011,425.0
Core i3-2125,2,4,3300,32.0,65,"Sep 4th, 2011",2011,412.5
Core i3-2120T,2,4,2600,32.0,35,"Sep 4th, 2011",2011,325.0
Core i3-2120,2,4,3300,32.0,65,"Feb 20th, 2011",2011,412.5
Core i3-2115C,2,4,2000,32.0,65,"May 1st, 2012",2012,250.0
Core i3-2105,2,4,3100,32.0,65,"May 22nd, 2011",2011,387.5
Core i3-2102,2,4,3100,32.0,65,"Jun 1st, 2011",2011,387.5
Core i3-2100T,2,4,2500,32.0,35,"Feb 20th, 2011",2011,312.5
Core i3-2100,2,4,3100,32.0,65,"Feb 20th, 2011",2011,387.5
Core i3-1220P,10,12,4400,10.0,28,"Feb 23rd, 2022",2022,5280.0
Core i3-10325,4,8,4700,14.0,65,"Mar 16th, 2021",2021,2685.714285714286
Core i3-10305T,4,8,4000,14.0,35,"Mar 16th, 2021",2021,2285.714285714286
Core i3-10305,4,8,4500,14.0,65,"Mar 16th, 2021",2021,2571.4285714285716
Core i3-10105T,4,8,3900,14.0,35,"Mar 16th, 2021",2021,2228.5714285714284
Core i3-10105F,4,8,4400,14.0,65,"Mar 16th, 2021",2021,2514.285714285714
Core i3-10105,4,8,4400,14.0,65,"Mar 16th, 2021",2021,2514.285714285714
Core Duo ULV L2500,2,2,1200,65.0,9,"Jun 28th, 2006",2006,36.92307692307692
Core Duo ULV L2400,2,2,1066,65.0,9,"Sep 3rd, 2006",2006,32.8
Core Duo T2700,2,2,2333,65.0,31,"Jun 28th, 2006",2006,71.78461538461538
Core Duo T2600,2,2,2166,65.0,31,"Jan 5th, 2006",2006,66.64615384615385
Core Duo T2500,2,2,1992,65.0,31,"Jan 5th, 2006",2006,61.292307692307695
Core Duo T2400,2,2,1826,65.0,31,"Jan 5th, 2006",2006,56.184615384615384
Core Duo T2300,2,2,1660,65.0,31,"Jan 5th, 2006",2006,51.07692307692308
Core Duo T2250,2,2,1733,65.0,31,"May 1st, 2006",2006,53.323076923076925
Core Duo T2050,2,2,1600,65.0,31,"May 1st, 2005",2005,49.23076923076923
Core Duo LV L2500,2,2,1833,65.0,15,"Sep 3rd, 2006",2006,56.4
Core 2 Solo ULV U2200,1,1,1200,65.0,5,"Sep 1st, 2007",2007,18.46153846153846
Core 2 Solo ULV U2100,1,1,1067,65.0,5,"Sep 1st, 2007",2007,16.415384615384614
Core 2 Solo ULV SU3500,1,1,1400,45.0,5,"Mar 29th, 2009",2009,31.11111111111111
Core 2 Solo ULV SU3300,1,1,1200,45.0,5,"May 1st, 2008",2008,26.666666666666668
Core 2 Quad Q9650,4,4,3000,45.0,95,"Aug 10th, 2008",2008,266.6666666666667
Core 2 Quad Q9550,4,4,2833,45.0,95,"Mar 25th, 2008",2008,251.82222222222222
Core 2 Quad Q9450,4,4,2666,45.0,95,"Mar 25th, 2008",2008,236.9777777777778
Core 2 Quad Q9400,4,4,2666,45.0,95,"Aug 10th, 2008",2008,236.9777777777778
Core 2 Quad Q9300,4,4,2500,45.0,95,"Mar 10th, 2008",2008,222.22222222222223
Core 2 Quad Q9100,4,4,2267,45.0,45,"Aug 1st, 2008",2008,201.51111111111112
Core 2 Quad Q8300,4,4,2500,45.0,95,"Nov 30th, 2008",2008,222.22222222222223
Core 2 Quad Q8200,4,4,2333,45.0,95,"Aug 31st, 2008",2008,207.37777777777777
Core 2 Extreme X9100,2,2,3067,45.0,44,"Jul 1st, 2008",2008,136.3111111111111
Core 2 Extreme X9000,2,2,2800,45.0,44,"Jan 7th, 2008",2008,124.44444444444444
Core 2 Extreme X6800,2,2,2933,65.0,75,"Jul 27th, 2006",2006,90.24615384615385
Core 2 Extreme QX9775,4,4,3200,45.0,150,"Mar 24th, 2008",2008,284.44444444444446
Core 2 Extreme QX9770,4,4,3200,45.0,136,"Mar 24th, 2008",2008,284.44444444444446
Core 2 Extreme QX9300,4,4,2534,45.0,45,"Aug 1st, 2008",2008,225.24444444444444
Core 2 Extreme QX6700,4,4,2666,65.0,130,"Nov 1st, 2006",2006,164.06153846153848
Core 2 Duo U7700,2,2,1333,65.0,10,"Feb 27th, 2008",2008,41.01538461538462
Core 2 Duo U7500,2,2,1073,65.0,10,"Feb 27th, 2008",2008,33.01538461538462
Core 2 Duo T9900,2,2,3067,45.0,35,"Jun 2nd, 2009",2009,136.3111111111111
Core 2 Duo T9800,2,2,2933,45.0,35,"Dec 28th, 2008",2008,130.35555555555555
Core 2 Duo T9600,2,2,2800,45.0,35,"Jul 15th, 2008",2008,124.44444444444444
Core 2 Duo T9550,2,2,2667,45.0,35,"Dec 28th, 2008",2008,118.53333333333333
Core 2 Duo T9500,2,2,2600,45.0,35,"Jan 7th, 2008",2008,115.55555555555556
Core 2 Duo T9400,2,2,2533,45.0,35,"Jul 15th, 2008",2008,112.57777777777778
Core 2 Duo T9300,2,2,2500,45.0,35,"Jan 7th, 2008",2008,111.11111111111111
Core 2 Duo T8300,2,2,2400,45.0,35,"Jan 7th, 2008",2008,106.66666666666667
Core 2 Duo T8100,2,2,2100,45.0,35,"Jan 7th, 2008",2008,93.33333333333333
Core 2 Duo T7600G,2,2,2333,65.0,35,"Dec 27th, 2006",2006,71.78461538461538
Core 2 Duo T7600,2,2,2333,65.0,35,"Jul 27th, 2006",2006,71.78461538461538
Core 2 Duo T7400,2,2,2166,65.0,35,"Jul 27th, 2006",2006,66.64615384615385
Core 2 Duo T7300,2,2,2000,65.0,35,"Jul 27th, 2006",2006,61.53846153846154
Core 2 Duo T7200,2,2,2000,65.0,35,"Jul 27th, 2006",2006,61.53846153846154
Core 2 Duo T5600,2,2,1833,65.0,35,"Jul 27th, 2006",2006,56.4
Core 2 Duo T5500,2,2,1667,65.0,35,"Jul 27th, 2006",2006,51.292307692307695
Core 2 Duo T5200,2,2,1600,65.0,35,"Jul 27th, 2006",2006,49.23076923076923
Core 2 Duo P9700,2,2,2800,45.0,28,"Jun 2nd, 2009",2009,124.44444444444444
Core 2 Duo P9600,2,2,2667,45.0,25,"Dec 28th, 2008",2008,118.53333333333333
Core 2 Duo P9500,2,2,2533,45.0,25,"Jul 15th, 2008",2008,112.57777777777778
Core 2 Duo P8800,2,2,2667,45.0,25,"Dec 28th, 2008",2008,118.53333333333333
Core 2 Duo P8700,2,2,2533,45.0,25,"Dec 28th, 2008",2008,112.57777777777778
Core 2 Duo P8600,2,2,2400,45.0,25,"Jun 13th, 2008",2008,106.66666666666667
Core 2 Duo P8400,2,2,2267,45.0,25,"Jun 13th, 2008",2008,100.75555555555556
Core 2 Duo E8600,2,2,3333,45.0,65,"Aug 8th, 2008",2008,148.13333333333333
Core 2 Duo E8500,2,2,3166,45.0,65,"Jan 1st, 2008",2008,140.7111111111111
Core 2 Duo E8435,2,2,3067,45.0,44,"Mar 3rd, 2009",2009,136.3111111111111
Core 2 Duo E8400,2,2,3000,45.0,65,"Jan 1st, 2008",2008,133.33333333333334
Core 2 Duo E8335,2,2,2933,45.0,44,"Mar 3rd, 2009",2009,130.35555555555555
Core 2 Duo E8300,2,2,2833,45.0,65,"Apr 1st, 2008",2008,125.91111111111111
Core 2 Duo E8235,2,2,2800,45.0,44,"Mar 3rd, 2009",2009,124.44444444444444
Core 2 Duo E8200,2,2,2667,45.0,65,"Jan 1st, 2008",2008,118.53333333333333
Core 2 Duo E8190,2,2,2667,45.0,65,"Jan 1st, 2008",2008,118.53333333333333
Core 2 Duo E8135,2,2,2667,45.0,44,"Mar 3rd, 2009",2009,118.53333333333333
Core 2 Duo E7600,2,2,3067,45.0,65,"May 10th, 2009",2009,136.3111111111111
Core 2 Duo E7500,2,2,2933,45.0,65,"Jan 10th, 2009",2009,130.35555555555555
Core 2 Duo E7400,2,2,2800,45.0,65,"Oct 10th, 2008",2008,124.44444444444444
Core 2 Duo E7300,2,2,2667,45.0,65,"Aug 10th, 2008",2008,118.53333333333333
Core 2 Duo E7200,2,2,2533,45.0,65,"Apr 20th, 2008",2008,112.57777777777778
Core 2 Duo E6700,2,2,2667,65.0,65,"Jul 27th, 2006",2006,82.06153846153846
Core 2 Duo E6600,2,2,2400,65.0,65,"Jul 27th, 2006",2006,73.84615384615384
Core 2 Duo E6400,2,2,2133,65.0,65,"Jul 27th, 2006",2006,65.63076923076923
Core 2 Duo E6300,2,2,1866,65.0,65,"Jul 27th, 2006",2006,57.41538461538462
Core 2 Duo E4700,2,2,2600,65.0,65,"Mar 2nd, 2008",2008,80.0
Core 2 Duo E4300,2,2,1800,65.0,65,"Jul 27th, 2006",2006,55.38461538461539
Celeron P1053,1,2,1333,45.0,30,"Feb 12th, 2010",2010,59.24444444444445
Celeron N2920,4,4,2000,22.0,7,"Dec 1st, 2013",2013,363.6363636363636
Celeron N2910,4,4,1600,22.0,7,"Sep 11th, 2013",2013,290.90909090909093
Celeron N2820,2,2,2390,22.0,7,"Dec 1st, 2013",2013,217.27272727272728
Celeron N2810,2,2,2000,22.0,7,"Sep 11th, 2013",2013,181.8181818181818
Celeron N2806,2,2,2000,22.0,4,"Dec 1st, 2013",2013,181.8181818181818
Celeron N2805,2,2,1463,22.0,4,"Sep 11th, 2013",2013,133.0
Celeron G555,2,2,2700,32.0,65,"Sep 1st, 2012",2012,168.75
Celeron G550T,2,2,2200,32.0,35,"Sep 4th, 2011",2011,137.5
Celeron G550,2,2,2600,32.0,65,"Jun 1st, 2012",2012,162.5
Celeron G540T,2,2,2100,32.0,35,"Sep 4th, 2011",2011,131.25
Celeron G540,2,2,2500,32.0,65,"Sep 4th, 2011",2011,156.25
Celeron G530T,2,2,2000,32.0,35,"Sep 4th, 2011",2011,125.0
Celeron G530,2,2,2400,32.0,65,"Sep 4th, 2011",2011,150.0
Celeron G465,1,1,1900,32.0,35,"Sep 1st, 2012",2012,59.375
Celeron G460,1,1,1800,32.0,35,"Dec 12th, 2011",2011,56.25
Celeron G440,1,1,1600,32.0,35,"Sep 4th, 2011",2011,50.0
Celeron G3950,2,2,3000,14.0,51,"Jan 3rd, 2017",2017,428.57142857142856
Celeron G3930T,2,2,2700,14.0,35,"Jan 3rd, 2017",2017,385.7142857142857
Celeron G3930,2,2,2900,14.0,51,"Jan 3rd, 2017",2017,414.2857142857143
Celeron G1830,2,2,2800,22.0,54,"Dec 1st, 2013",2013,254.54545454545453
Celeron G1820TE,2,2,2200,22.0,54,"Dec 1st, 2013",2013,200.0
Celeron G1820T,2,2,2400,22.0,54,"Dec 1st, 2013",2013,218.1818181818182
Celeron G1820,2,2,2700,22.0,54,"Dec 1st, 2013",2013,245.45454545454547
Celeron G1630,2,2,2800,22.0,55,"Sep 1st, 2013",2013,254.54545454545453
Celeron G1620T,2,2,2400,22.0,35,"Sep 1st, 2013",2013,218.1818181818182
Celeron G1620,2,2,2700,22.0,55,"Dec 3rd, 2012",2012,245.45454545454547
Celeron G1610T,2,2,2300,22.0,35,"Dec 3rd, 2012",2012,209.0909090909091
Celeron G1610,2,2,2600,22.0,55,"Dec 3rd, 2012",2012,236.36363636363637
Celeron G1101,2,2,2266,32.0,73,"Jan 7th, 2010",2010,141.625
Celeron E3500,2,2,2700,45.0,65,"Aug 29th, 2010",2010,120.0
Celeron E3400,2,2,2600,45.0,65,"Jan 17th, 2010",2010,115.55555555555556
Celeron E3300,2,2,2500,45.0,65,"Aug 30th, 2009",2009,111.11111111111111
Celeron E3200,2,2,2400,45.0,65,"Aug 30th, 2009",2009,106.66666666666667
Celeron E1600,2,2,2400,65.0,65,"May 31st, 2009",2009,73.84615384615384
Celeron E1500,2,2,2200,65.0,65,"Nov 30th, 2008",2008,67.6923076923077
Celeron E1400,2,2,2000,65.0,65,"Apr 20th, 2008",2008,61.53846153846154
Celeron E1200,2,2,1600,65.0,65,"Jan 20th, 2008",2008,49.23076923076923
Celeron D 352,1,1,3200,65.0,84,"May 28th, 2006",2006,49.23076923076923
Celeron D 350,1,1,3200,90.0,84,"Jun 28th, 2005",2005,35.55555555555556
Celeron D 346,1,1,3060,90.0,73,"Oct 1st, 2004",2004,34.0
Celeron D 341,1,1,2930,90.0,84,"Sep 22nd, 2004",2004,32.55555555555556
Celeron D 340,1,1,2930,90.0,84,"Sep 22nd, 2004",2004,32.55555555555556
Celeron D 335,1,1,2800,90.0,84,"Jun 24th, 2004",2004,31.11111111111111
Celeron D 335,1,1,2800,90.0,84,"Jun 24th, 2004",2004,31.11111111111111
Celeron D 330,1,1,2667,90.0,84,"Jun 24th, 2004",2004,29.633333333333333
Celeron D 326,1,1,2530,90.0,73,"Sep 22nd, 2004",2004,28.11111111111111
Celeron D 325,1,1,2533,90.0,73,"Jun 24th, 2004",2004,28.144444444444446
Celeron B840,2,2,1900,32.0,35,"Jul 1st, 2011",2011,118.75
Celeron B830,2,2,1800,32.0,35,"Sep 1st, 2012",2012,112.5
Celeron B820,2,2,1700,32.0,35,"Jul 1st, 2012",2012,106.25
Celeron B815,2,2,1600,32.0,35,"Jan 1st, 2012",2012,100.0
Celeron B810,2,2,1600,32.0,35,"Mar 1st, 2011",2011,100.0
Celeron B800,2,2,1500,32.0,35,"Jun 19th, 2011",2011,93.75
Celeron B730,1,1,1800,32.0,35,"Jul 1st, 2012",2012,56.25
Celeron B720,1,1,1700,32.0,35,"Jan 1st, 2012",2012,53.125
Celeron B710,1,1,1600,32.0,35,"Jun 19th, 2011",2011,50.0
Celeron 947UE,1,1,1400,22.0,17,"Jan 20th, 2013",2013,63.63636363636363
Celeron 887,2,2,1500,32.0,17,"Sep 1st, 2012",2012,93.75
Celeron 877,2,2,1400,32.0,17,"Jul 1st, 2012",2012,87.5
Celeron 867,2,2,1300,32.0,17,"Jan 1st, 2012",2012,81.25
Celeron 857,2,2,1200,32.0,17,"Jul 1st, 2011",2011,75.0
Celeron 847,2,2,1100,32.0,17,"Jun 19th, 2011",2011,68.75
Celeron 807,1,1,1500,32.0,17,"Jul 1st, 2012",2012,46.875
Celeron 797,1,1,1400,32.0,17,"Jan 1st, 2012",2012,43.75
Celeron 787,1,1,1300,32.0,17,"Jul 1st, 2011",2011,40.625
Celeron 7305,5,6,1100,10.0,15,"Feb 23rd, 2022",2022,660.0
Celeron 7300,5,6,1000,10.0,9,"Feb 23rd, 2022",2022,600.0
Celeron 725C,1,1,1300,32.0,17,"Jul 1st, 2011",2011,40.625
Celeron 450,1,1,2200,65.0,35,"Aug 31st, 2008",2008,33.84615384615385
Celeron 445,1,1,1866,65.0,65,"May 1st, 2008",2008,28.70769230769231
Celeron 440,1,1,2000,65.0,35,"Jun 3rd, 2007",2007,30.76923076923077
Celeron 430,1,1,1800,65.0,35,"Jun 3rd, 2007",2007,27.692307692307693
Celeron 420,1,1,1600,65.0,35,"Jun 3rd, 2007",2007,24.615384615384617
Celeron 2980U,2,2,1600,22.0,15,"Sep 1st, 2013",2013,145.45454545454547
Celeron 2961Y,2,2,1100,22.0,12,"Dec 1st, 2013",2013,100.0
Celeron 2955U,2,2,1400,22.0,15,"Sep 1st, 2013",2013,127.27272727272727
Celeron 2955U,2,2,1400,22.0,15,"Sep 1st, 2013",2013,127.27272727272727
Celeron 2950M,2,2,2000,22.0,37,"Sep 1st, 2013",2013,181.8181818181818
Celeron 2950M,2,2,2000,22.0,37,"Sep 1st, 2013",2013,181.8181818181818
Celeron 220,1,1,1200,65.0,19,"Oct 21st, 2007",2007,18.46153846153846
Celeron 2.80,1,1,2800,130.0,73,"Nov 3rd, 2003",2003,21.53846153846154
Celeron 2.70,1,1,2700,130.0,73,"Sep 24th, 2003",2003,20.76923076923077
Celeron 2.60,1,1,2600,130.0,73,"Jun 25th, 2003",2003,20.0
Celeron 2.40,1,1,2400,130.0,73,"Mar 31st, 2003",2003,18.46153846153846
